"Route","RefCount","FilePath"
"/api/ai/tools/version","0","\src\app\api\ai\tools\version\route.ts"
"/api/ai/usage","0","\src\app\api\ai\usage\route.ts"
"/api/ai/usage/health","0","\src\app\api\ai\usage\health\route.ts"
"/api/ai/usage/version","0","\src\app\api\ai\usage\version\route.ts"
"/api/ai/validator","0","\src\app\api\ai\validator\route.ts"
"/api/ai/validator/health","0","\src\app\api\ai\validator\health\route.ts"
"/api/ai/window","0","\src\app\api\ai\window\route.ts"
"/api/ai/window/health","0","\src\app\api\ai\window\health\route.ts"
"/api/ai/workers","0","\src\app\api\ai\workers\route.ts"
"/api/ai/workflows","0","\src\app\api\ai\workflows\route.ts"
"/api/ai/workflows/all","0","\src\app\api\ai\workflows\all\route.ts"
"/api/ai/workflows/delete","0","\src\app\api\ai\workflows\delete\route.ts"
"/api/ai/workflows/diagnostics","0","\src\app\api\ai\workflows\diagnostics\route.ts"
"/api/ai/workflows/health","0","\src\app\api\ai\workflows\health\route.ts"
"/api/ai/workflows/info","0","\src\app\api\ai\workflows\info\route.ts"
"/api/ai/workflows/lookup","0","\src\app\api\ai\workflows\lookup\route.ts"
"/api/ai/workflows/version","0","\src\app\api\ai\workflows\version\route.ts"
"/api/conversation","0","\src\app\api\conversation\route.ts"
